	
808	37452
812	60714
816	79133
820	82187
824	74733
828	61565
832	48814
835	48054
839	56717
843	60158
847	54000
851	40671
855	38796
859	63278
863	87204
867	96362
871	88293
875	68924
878	57559
882	56118
886	40817
890	18078
894	45333
898	76434
902	88712
906	81062
910	67614
914	60923
917	56494
921	51954
925	46031
929	37932
933	42119
937	64946
941	89664
945	100545
949	93791
953	80787
957	74049
960	73007
964	71786
968	68343
972	66410
976	65925
980	58795
984	42501
988	24319
992	13382
996	13047
1000	17020
1003	18639
1007	16707
1011	15014
1015	29670
1019	47965
1023	47872
1027	22212
1031	17062
1035	48508
1039	59740
1042	57005
1046	69116
1050	97695
1054	108910
1058	86100
1062	41190
1066	26702
1070	52940
1074	60143
1078	43738
1082	13739
1085	12540
1089	20480
1093	13565
1097	8868
1101	12735
1105	15769
1109	19378
1113	23405
1117	31895
1121	45468
1125	51723
1128	41881
1132	21218
1136	2712
1140	8466
1144	12334
1148	12710
1152	17069
1156	22640
1160	31480
1164	49519
1167	64247
1171	65048
1175	49572
1179	19750
1183	15046
1187	38597
1191	41461
1195	37298
1199	54798
1203	81990
1207	96518
1210	86941
1214	57115
1218	26665
1222	20108
1226	19011
1230	8006
1234	23792
1238	48390
1242	61872
1246	59068
1250	44751
1253	27217
1257	11616
1261	12233
1265	28203
1269	40853
1273	42321
1277	31649
1281	25316
1285	41394
1289	61349
1292	74264
1296	74530
1300	61937
1304	45842
1308	44614
1312	62816
1316	79210
1320	76977
1324	53977
1328	23908
1332	29673
1335	52430
1339	60062
1343	49176
1347	28930
1351	12470
1355	5850
1359	13998
1363	22186
1367	25172
1371	24955
1375	24030
1378	21491
1382	14307
1386	5596
1390	13657
1394	19933
1398	19038
1402	13824
1406	6795
1410	4142
1414	15037
1417	24092
1421	26414
1425	26637
1429	34690
1433	42340
1437	40309
1441	29694
1445	15164
1449	6858
1453	10764
1457	2536
1460	17468
1464	35261
1468	38283
1472	25020
1476	10181
1480	25105
1484	35580
1488	28491
1492	13289
1496	29647
1500	42658
1503	38613
1507	23702
1511	8604
1515	8456
1519	11208
1523	8599
1527	5444
1531	3999
1535	13835
1539	22308
1542	22130
1546	13633
1550	3505
1554	12822
1558	19437
---	
808	52314
812	30484
816	36303
820	57531
824	45352
828	27694
832	57812
835	61284
839	29734
843	49510
847	73406
851	48918
855	36044
859	83696
863	81248
867	30595
871	92782
875	131724
878	68411
882	111630
886	307375
890	440851
894	444023
898	317982
902	131227
906	22605
910	78113
